file,line,issue
scripts/active/unified_power_system.py,152,subprocess.run() sem check=
scripts/active/unified_power_system.py,173,subprocess.run() sem check=
scripts/active/unified_power_system.py,192,subprocess.run() sem check=
scripts/archive/70b_deprecated/monitor_70b.py,130,Popen/call/os.system
scripts/archive/70b_deprecated/prepare_70b_dedicated.py,70,subprocess.run() sem check=
scripts/archive/70b_deprecated/prepare_70b_dedicated.py,97,subprocess.run() sem check=
scripts/archive/70b_deprecated/prepare_70b_dedicated.py,119,subprocess.run() sem check=
scripts/archive/70b_deprecated/prepare_70b_dedicated.py,131,subprocess.run() sem check=
scripts/archive/70b_deprecated/prepare_70b_dedicated.py,153,subprocess.run() sem check=
scripts/archive/70b_deprecated/prepare_70b_dedicated.py,171,subprocess.run() sem check=
scripts/archive/70b_deprecated/prepare_70b_dedicated.py,264,subprocess.run() sem check=
scripts/archive/list_ollama_configs.py,17,subprocess.run() sem check=
scripts/archive/optimize_ram.py,124,subprocess.run() sem check=
scripts/archive/optimize_ram.py,124,subprocess.run() com shell=True
scripts/archive/optimize_ram.py,129,subprocess.run() sem check=
scripts/archive/optimize_ram.py,129,subprocess.run() com shell=True
scripts/archive/optimize_ram.py,134,subprocess.run() sem check=
scripts/archive/optimize_ram.py,134,subprocess.run() com shell=True
scripts/archive/optimize_ram.py,139,subprocess.run() sem check=
scripts/archive/optimize_ram.py,139,subprocess.run() com shell=True
scripts/archive/optimize_ram.py,162,subprocess.run() sem check=
scripts/archive/optimize_ram.py,162,subprocess.run() com shell=True
scripts/archive/optimize_ram.py,191,subprocess.run() sem check=
scripts/archive/optimize_ram.py,191,subprocess.run() com shell=True
scripts/archive/optimize_ram.py,197,subprocess.run() sem check=
scripts/archive/optimize_ram.py,197,subprocess.run() com shell=True
scripts/archive/optimize_ram.py,202,subprocess.run() sem check=
scripts/archive/optimize_ram.py,202,subprocess.run() com shell=True
scripts/archive/optimize_ram.py,204,Popen/call/os.system
scripts/archive/optimize_ram.py,208,subprocess.run() sem check=
scripts/archive/optimize_ram.py,208,subprocess.run() com shell=True
scripts/archive/optimize_ram.py,220,Popen/call/os.system
scripts/archive/test_hybrid_performance.py,71,subprocess.run() sem check=
scripts/archive/test_hybrid_performance.py,124,subprocess.run() sem check=
scripts/investigate_background_processes.py,70,subprocess.run() sem check=
src/core/mac_silicon_optimizer_minimal.py,61,subprocess.run() sem check=
src/core/mac_silicon_optimizer_minimal.py,74,subprocess.run() sem check=
src/core/ollama_config.py,26,subprocess.run() sem check=
src/core/ollama_config.py,30,subprocess.run() sem check=
src/core/ollama_config.py,84,subprocess.run() sem check=
src/core/ollama_core_minimal.py,38,subprocess.run() sem check=
src/core/ollama_core_minimal.py,103,subprocess.run() sem check=
src/core/ollama_core_minimal.py,128,subprocess.run() sem check=
src/core/producer_director_minimal.py,34,subprocess.run() sem check=
src/core/scripturemon_start.py,96,subprocess.run() sem check=
src/features/cinema_rag_llm_system.py,205,subprocess.run() sem check=
src/possiveis_complementos/deploy_minimal.py,14,subprocess.run() sem check=
src/possiveis_complementos/precommit_minimal.py,14,subprocess.run() sem check=
src/possiveis_complementos/precommit_minimal.py,39,subprocess.run() sem check=
src/possiveis_complementos/precommit_minimal.py,52,subprocess.run() sem check=
src/possiveis_complementos/test_forensic_system.py,307,subprocess.run() sem check=
src/possiveis_complementos/test_security_breach.py,106,subprocess.run() sem check=
src/possiveis_complementos/test_security_breach.py,136,subprocess.run() sem check=
src/possiveis_complementos/test_security_breach.py,136,subprocess.run() com shell=True
src/possiveis_complementos/test_security_breach.py,162,subprocess.run() sem check=
src/possiveis_complementos/test_security_breach.py,162,subprocess.run() com shell=True
src/possiveis_complementos/test_security_system.py,146,subprocess.run() sem check=
src/possiveis_complementos/test_security_system.py,146,subprocess.run() com shell=True
src/possiveis_complementos/test_security_system.py,157,subprocess.run() sem check=
src/possiveis_complementos/test_security_system.py,157,subprocess.run() com shell=True
src/possiveis_complementos/test_security_system.py,238,subprocess.run() sem check=
